,img_id,corruption,algo,clipping,latent,epsilon,path,filename,timestamp,psnr_to_target,lpips_to_target
0,10536,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10536/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,15.33635425567627,0.2182484269142151
1,10536,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10536/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,14.861339569091797,0.29912322759628296
2,10567,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10567/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,17.88668441772461,0.2566445767879486
3,10567,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10567/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,17.69121742248535,0.2612016201019287
4,10702,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10702/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.338245391845703,0.184859961271286
5,10702,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10702/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,16.10616683959961,0.21908041834831238
6,11087,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.48845672607422,0.16221675276756287
7,11087,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,15.741704940795898,0.19892588257789612
8,12798,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/12798/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,15.427742958068848,0.207425057888031
9,12798,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/12798/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,14.843732833862305,0.26100051403045654
10,13685,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13685/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,16.404617309570312,0.18641288578510284
11,13685,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13685/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,15.960575103759766,0.22219261527061462
