,img_id,corruption,algo,clipping,latent,epsilon,path,filename,timestamp,psnr_to_target,lpips_to_target
0,10536,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10536/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,15.33635425567627,0.2182484269142151
1,10536,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10536/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,15.546588897705078,0.21848458051681519
2,10536,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10536/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,14.861339569091797,0.29912322759628296
3,10567,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10567/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,17.88668441772461,0.2566445767879486
4,10567,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10567/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,17.806211471557617,0.2583310902118683
5,10567,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10567/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,17.69121742248535,0.2612016201019287
6,10702,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10702/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.338245391845703,0.184859961271286
7,10702,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10702/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,16.412982940673828,0.18539518117904663
8,10702,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/10702/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,16.10616683959961,0.21908041834831238
9,11087,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.48845672607422,0.16221675276756287
10,11087,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,16.274354934692383,0.18597429990768433
11,11087,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,15.741704940795898,0.19892588257789612
12,12798,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/12798/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,15.427742958068848,0.207425057888031
13,12798,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/12798/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,15.623183250427246,0.24183985590934753
14,12798,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/12798/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,14.843732833862305,0.26100051403045654
15,13685,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13685/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,16.404617309570312,0.18641288578510284
16,13685,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13685/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.71092414855957,0.23190899193286896
17,13685,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13685/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,15.960575103759766,0.22219261527061462
18,13891,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13891/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,16.82808494567871,0.1937868893146515
19,13891,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13891/ode/non_clipped/200_0.000316228_0.png,200_0.000316228_0.png,2024-05-22_19-58,16.867258071899414,0.2232658565044403
20,13891,voronoi_noise,ode,clipped,200,0.001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13891/ode/non_clipped/200_0.001_0.png,200_0.001_0.png,2024-05-22_19-58,16.683168411254883,0.2530837059020996
21,13940,voronoi_noise,ode,clipped,200,0.0001,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/13940/ode/non_clipped/200_0.0001_0.png,200_0.0001_0.png,2024-05-22_19-58,15.181534767150879,0.316206157207489
