,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
21,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8404/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,8404,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.545022010803223,0.18589286506175995
22,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8404/ode/non_clipped/200_0.0001_0.png,voronoi_noise,8404,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.396771430969238,0.17976492643356323
23,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/8404/ode/non_clipped/200_0.001_0.png,voronoi_noise,8404,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,15.729663848876953,0.18262654542922974
24,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/original.png,voronoi_noise,18283,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
25,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/corrupted.png,voronoi_noise,18283,corrupted.png,none,none,2024-05-22_19-58,none,,18.10683822631836,0.07475809752941132
26,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,18283,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,17.74677848815918,0.15976879000663757
27,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,18283,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,17.937612533569336,0.15878459811210632
28,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/ode/non_clipped/200_0.0001_0.png,voronoi_noise,18283,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,18.05017852783203,0.1474117636680603
29,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18283/ode/non_clipped/200_0.001_0.png,voronoi_noise,18283,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,17.661069869995117,0.1723422408103943
30,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18578/original.png,voronoi_noise,18578,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
